customer_id,age,gender,location,marital_status,dependents,education_level,tenure_months,contract_type,payment_method,paperless_billing,monthly_charges,total_charges,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,data_usage_gb,call_duration_minutes,customer_service_calls,late_payments,payment_failures,contract_renewal_eligible,avg_monthly_download_gb,avg_monthly_upload_gb,customer_satisfaction_score,nps_score,last_interaction_days,churn
CUST-00001,38,Female,Suburban,Married,4,Bachelor,25,Month-to-Month,Bank Transfer,No,108.16,2729.92,Yes,Yes,DSL,No,No,No,Yes,No,No,52.15,265.31,2,0,0,No,99.89,12.68,5.0,-15.0,22,No
CUST-00002,34,Male,Suburban,Single,0,High School,30,One Year,Bank Transfer,Yes,80.24,2476.01,Yes,No,No,No,No,No,No,No,No,0.0,1291.7,2,3,1,Yes,0.0,0.0,2.0,-40.0,124,No
CUST-00003,58,Female,Suburban,Married,0,Master,14,One Year,Bank Transfer,No,76.89,1105.49,Yes,Yes,Fiber,Yes,Yes,No,Yes,No,Yes,149.66,848.85,5,0,1,Yes,86.09,10.35,3.0,36.0,83,No
CUST-00004,68,Male,Suburban,Single,4,Bachelor,43,One Year,Electronic,No,131.21,5557.61,Yes,No,Fiber,No,No,No,Yes,No,No,317.25,409.52,1,1,0,Yes,239.69,42.33,4.0,-50.0,198,No
CUST-00005,35,Female,Suburban,Married,1,Bachelor,28,Two Year,Credit Card,No,26.52,733.1,Yes,No,Fiber,Yes,Yes,No,Yes,Yes,No,441.65,322.47,3,2,1,Yes,86.23,14.46,4.0,-99.0,325,Yes
CUST-00006,74,Male,Suburban,Married,2,High School,19,Month-to-Month,Bank Transfer,No,134.66,2615.78,Yes,No,Fiber,Yes,No,Yes,No,Yes,No,227.42,1161.93,3,0,0,No,115.11,14.13,2.0,72.0,186,Yes
CUST-00007,72,Female,Suburban,Single,2,Bachelor,42,Month-to-Month,Electronic,Yes,130.77,5492.29,Yes,Yes,No,No,No,No,No,No,No,0.0,670.89,3,1,0,No,0.0,0.0,3.0,-69.0,328,No
CUST-00008,54,Male,Suburban,Single,0,Bachelor,20,One Year,Bank Transfer,Yes,85.83,1728.67,Yes,Yes,Fiber,No,No,No,No,No,Yes,73.01,1995.11,1,0,0,No,138.92,30.99,4.0,99.0,91,No
CUST-00009,55,Female,Urban,Single,2,Bachelor,11,Month-to-Month,Mailed Check,No,83.73,940.6,Yes,No,No,No,No,No,No,No,No,0.0,871.21,0,0,0,No,0.0,0.0,4.0,,329,No
CUST-00010,29,Male,Urban,Married,2,High School,54,Two Year,Bank Transfer,Yes,67.03,3720.37,Yes,Yes,Fiber,No,No,No,No,No,No,76.3,503.34,3,1,0,Yes,264.19,46.05,5.0,-4.0,181,No
CUST-00011,28,Female,Urban,Married,2,High School,24,Month-to-Month,Mailed Check,No,149.24,3499.98,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,96.05,1294.81,2,1,2,No,36.63,6.67,5.0,-26.0,226,No
CUST-00012,65,Male,Rural,Single,0,Bachelor,70,One Year,Bank Transfer,No,34.45,2326.46,Yes,No,No,No,No,No,No,No,No,0.0,564.08,2,0,1,Yes,0.0,,3.0,59.0,198,Yes
CUST-00013,69,Male,Urban,Single,5,Bachelor,17,Month-to-Month,Electronic,Yes,96.73,1610.14,No,No,Fiber,Yes,Yes,No,No,No,Yes,154.84,0.0,2,0,0,No,203.02,38.1,5.0,-93.0,234,No
CUST-00014,66,Female,Urban,Single,1,High School,28,One Year,Bank Transfer,No,108.62,3043.61,Yes,Yes,Fiber,Yes,No,No,Yes,Yes,Yes,276.21,1016.89,3,0,0,Yes,210.49,46.74,4.0,-16.0,43,No
CUST-00015,37,Female,Urban,Single,2,Bachelor,50,Month-to-Month,Electronic,Yes,141.46,6961.49,Yes,No,No,No,No,No,No,No,No,0.0,961.76,0,0,1,No,0.0,0.0,5.0,20.0,75,No
CUST-00016,26,Male,Suburban,Married,3,Bachelor,55,Month-to-Month,Credit Card,Yes,121.43,6724.11,Yes,No,DSL,No,Yes,Yes,No,No,Yes,396.68,1612.56,2,0,0,No,61.94,,3.0,-81.0,140,No
CUST-00017,18,Male,Urban,Married,1,Bachelor,10,Month-to-Month,Electronic,No,103.7,990.7,Yes,Yes,Fiber,Yes,Yes,No,No,Yes,No,190.22,511.56,2,0,1,No,177.58,49.73,3.0,92.0,181,No
CUST-00018,20,Male,Suburban,Married,3,Bachelor,21,Month-to-Month,Electronic,No,35.19,739.62,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,287.92,1818.18,3,0,0,No,23.44,4.55,4.0,48.0,118,Yes
CUST-00019,38,Male,Urban,Divorced,5,Bachelor,58,Two Year,Credit Card,Yes,68.59,3925.44,No,No,Fiber,No,No,Yes,No,Yes,No,311.65,0.0,2,2,0,No,225.76,33.4,5.0,-94.0,39,No
CUST-00020,40,Male,Rural,Divorced,1,High School,34,Month-to-Month,Credit Card,Yes,38.05,1298.16,Yes,Yes,No,No,No,No,No,No,No,0.0,732.93,3,0,0,No,0.0,0.0,5.0,20.0,259,No
CUST-00021,26,Male,Rural,Married,1,High School,43,One Year,Credit Card,Yes,134.56,5741.16,Yes,Yes,No,No,No,No,No,No,No,0.0,443.14,0,3,0,Yes,0.0,0.0,4.0,21.0,243,Yes
CUST-00022,71,Female,Rural,Married,4,Bachelor,11,Two Year,Bank Transfer,Yes,117.45,1264.08,Yes,Yes,Fiber,No,No,No,No,Yes,No,284.65,631.12,2,1,0,Yes,117.43,26.78,3.0,36.0,128,Yes
CUST-00023,36,Female,Urban,Divorced,0,Bachelor,33,Two Year,Electronic,Yes,118.48,4067.83,Yes,No,Fiber,Yes,Yes,No,Yes,Yes,No,334.59,732.01,3,1,0,No,187.21,46.63,4.0,-15.0,5,No
CUST-00024,62,Male,Suburban,Single,0,Bachelor,58,Two Year,Electronic,Yes,104.79,5886.41,Yes,Yes,No,No,No,No,No,No,No,0.0,1158.17,3,1,0,Yes,0.0,0.0,5.0,29.0,310,No
CUST-00025,72,Female,Suburban,Single,4,Master,46,Two Year,Bank Transfer,No,85.92,4023.8,Yes,No,Fiber,No,No,No,No,No,No,66.57,188.1,1,0,0,Yes,185.08,21.01,4.0,46.0,65,Yes
CUST-00026,63,Female,Urban,Single,3,Master,61,One Year,Bank Transfer,No,39.5,2511.58,Yes,Yes,DSL,Yes,No,No,No,No,No,100.23,1837.28,2,1,1,Yes,59.08,7.72,4.0,-41.0,218,No
CUST-00027,69,Male,Urban,Married,5,High School,62,One Year,Mailed Check,Yes,62.86,3912.41,Yes,Yes,Fiber,No,No,Yes,No,Yes,Yes,344.29,287.48,1,3,1,Yes,259.18,33.56,1.0,97.0,145,No
CUST-00028,36,Male,Urban,Married,0,Master,1,Month-to-Month,Electronic,Yes,37.8,39.22,Yes,No,No,No,No,No,No,No,No,0.0,630.62,2,0,0,No,0.0,0.0,4.0,86.0,233,No
CUST-00029,40,Female,Suburban,Married,0,Bachelor,21,Month-to-Month,Bank Transfer,No,114.24,2309.01,No,No,No,No,No,No,No,No,No,0.0,0.0,2,0,0,No,0.0,0.0,4.0,-32.0,28,No
CUST-00030,44,Male,Urban,Married,0,Bachelor,62,Two Year,Credit Card,No,40.83,2529.87,Yes,No,Fiber,Yes,No,No,Yes,Yes,Yes,489.95,587.68,1,1,0,Yes,193.91,52.53,5.0,-56.0,308,No
CUST-00031,44,Male,Suburban,Married,2,PhD,64,One Year,Credit Card,No,111.27,7090.98,Yes,No,No,No,No,No,No,No,No,0.0,1691.58,0,1,1,No,0.0,0.0,4.0,-39.0,160,No
CUST-00032,56,Female,Suburban,Single,2,Master,56,One Year,Electronic,Yes,109.99,5856.64,Yes,Yes,DSL,No,Yes,Yes,No,No,No,208.35,1268.83,1,1,0,Yes,97.17,16.87,4.0,37.0,130,No
CUST-00033,53,Female,Suburban,Single,1,PhD,1,One Year,Credit Card,Yes,79.71,79.26,Yes,No,DSL,No,No,Yes,No,No,Yes,189.26,531.91,3,1,0,No,55.14,6.28,5.0,22.0,147,No
CUST-00034,29,Male,Rural,Single,0,High School,21,Month-to-Month,Electronic,Yes,37.58,778.84,Yes,Yes,No,No,No,No,No,No,No,0.0,1756.34,2,2,0,No,0.0,0.0,2.0,92.0,81,Yes
CUST-00035,72,Female,Suburban,Single,2,High School,22,Two Year,Electronic,No,60.92,1363.09,Yes,No,DSL,No,Yes,No,Yes,Yes,No,142.69,1621.35,3,1,0,Yes,71.47,8.81,3.0,-75.0,360,No
CUST-00036,44,Female,Suburban,Married,2,Bachelor,54,One Year,Credit Card,Yes,61.61,3472.89,Yes,No,DSL,No,No,No,Yes,No,No,235.4,1531.93,0,0,1,No,78.11,19.42,4.0,87.0,341,No
CUST-00037,63,Female,Suburban,Married,0,Bachelor,4,Month-to-Month,Bank Transfer,Yes,111.05,425.8,No,No,Fiber,Yes,No,No,No,No,No,93.62,0.0,3,1,0,No,212.65,55.41,3.0,-83.0,82,No
CUST-00038,51,Female,Urban,Married,4,High School,65,Two Year,Bank Transfer,Yes,34.79,2222.12,Yes,Yes,Fiber,Yes,No,No,No,No,Yes,260.63,1277.33,2,2,1,Yes,243.21,50.78,3.0,-42.0,72,No
CUST-00039,50,Male,Urban,Married,0,Master,51,Month-to-Month,Credit Card,Yes,127.78,6480.27,Yes,No,Fiber,No,Yes,No,Yes,No,No,428.7,1052.73,2,1,0,No,203.24,26.4,5.0,48.0,354,No
CUST-00040,45,Female,Rural,Married,2,Bachelor,63,Two Year,Credit Card,No,118.93,7459.07,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,152.02,810.48,0,0,0,No,52.53,13.52,4.0,-55.0,213,No
CUST-00041,48,Male,Rural,Married,3,Bachelor,15,One Year,Credit Card,Yes,44.22,681.53,Yes,Yes,No,No,No,No,No,No,No,0.0,525.15,0,1,0,Yes,0.0,0.0,2.0,-89.0,25,Yes
CUST-00042,49,Male,Suburban,Married,2,Bachelor,36,Month-to-Month,Mailed Check,No,113.49,4062.56,Yes,No,No,No,No,No,No,No,No,0.0,1159.08,1,0,0,No,0.0,0.0,3.0,12.0,289,No
CUST-00043,67,Male,Urban,Married,0,Bachelor,29,Two Year,Credit Card,Yes,106.91,2953.7,Yes,No,Fiber,Yes,No,No,No,No,Yes,36.48,1790.04,2,1,0,Yes,88.54,17.19,1.0,59.0,70,Yes
CUST-00044,37,Male,Urban,Married,1,High School,52,One Year,Electronic,Yes,117.26,6225.4,Yes,Yes,Fiber,No,Yes,Yes,No,Yes,Yes,378.21,1228.57,3,1,0,Yes,121.87,34.68,4.0,66.0,349,No
CUST-00045,57,Male,Urban,Married,3,PhD,46,Month-to-Month,Electronic,Yes,44.56,2128.67,Yes,Yes,Fiber,Yes,No,No,No,No,No,127.67,1847.25,2,1,0,No,203.66,32.48,2.0,82.0,176,Yes
